pub_date,title,venue,excerpt,citation,url_slug,paper_url,total-citation,cited-by-others,InspireHep,citation-update-date
2010-12-14,Measurement of the $W \\to l\\nu$ and $Z \\to \\ell\\ell$ production cross section in proton-proton collision at $\\sqrt{s}$ = 7 TeV with the ATLAS detector,JHEP,,JHEP 1012 (2010) 060,p,http://inspirehep.net/record/872570,366,94,872570,4/13/19
2011-04-01,Search for pair production of first or second generation leptoquarks in proton-proton collisions at 𝑠√=7 TeV using the ATLAS detector at the LHC,PRD,,Phys.Rev. D83 (2011) 112006,p,http://inspirehep.net/record/897002,53,28,897002,
2011-11-24,Search for the Standard Model Higgs boson in the decay channel $H \\to ZZ^{*} \\to 4\\ell$ with the ATLAS detector,PLB,,Phys.Lett.B 705 (2011) 435-451,p,http://inspirehep.net/record/929699,39,28,929699,4/13/19
2012-03-29,Combined search for the Standard Model Higgs boson using up to 4.9 fb$^{-1}$ of pp collision data at $\\sqrt{s}$ = 7 TeV with the ATLAS detector at the LHC,PLB,,Phys.Lett.B 710 (2012) 49-66,p,http://inspirehep.net/record/1088223,688,607,1088223,4/13/19
2012-04-12,Search for the Standard Model Higgs boson in the decay channel $H \\to ZZ^{*} \\to 4\\ell$ with 4.8 fb$^{-1}$ of pp collisions at $\\sqrt{s} = 7$ TeV with ATLAS,PLB,,Phys.Lett.B 710 (2012) 383-402,p,http://inspirehep.net/record/1088225,187,129,1088225,4/13/19
2012-09-17,Observation of a new particle in the search for the Standard Model Higgs boson with the ATLAS detector at the LHC,PLB,, Phys.Lett.B 716 (2012) 1-29,p,http://inspirehep.net/record/1124337,9370,8098,1124337,4/13/19
2012-12-21,A Particle Consistent with the Higgs Boson Observed with the ATLAS Detector at the Large Hadron Collider,Science,,Science 338 1576-1582,p,http://inspirehep.net/record/1223730,83,68,1223730,4/13/19
2014-08-14,Fiducial and differential cross sections of Higgs boson production measured in the four-lepton decay channel in 𝑝𝑝 collisions at 𝑠√=8 TeV with the ATLAS detector,PLB,,Phys.Lett. B738 (2014) 234-253,p,http://inspirehep.net/record/1310835,112,59,1310835,4/13/19
2014-09-09,Measurement of the Higgs boson mass from the $H \\to \\gamma\\gamma$ and $H \\to  ZZ^{*} \\to 4\\ell$ channels with the ATLAS detector using 25 fb$^{-1}$ of pp collision data,PRD,,"Phys.Rev. D90 (2014) no.5, 052004",p,http://inspirehep.net/record/1300650,440,292,1300650,4/13/19
2015-01-16,Measurement of Higgs boson production and couplings in the four-lepton channel in pp collisions at center-of-mass energies of 7 and 8 TeV with the ATLAS detector,PRD,,"Phys.rev.D 91 (2015) no.1, 012006",p,http://inspirehep.net/record/1311990,269,177,1311990,4/13/19
2016-08-22,Search for new phenomena in final states with an energetic jet and large missing transverse momentumi in pp collisions at 13 TeV using the ATLAS detector,PRD,," Phys.Rev.D 94 (2016) no.3, 032005",p,http://inspirehep.net/record/1452559,238,184,1452559,4/13/19
2016-09-01,Search for resonances in diphoton events at $\\sqrt{s}$ = 13 TeV with the ATLAS detector,JHEP,,JHEP 1609 (2016) 001,p,http://inspirehep.net/record/1469066,168,132,1469066,4/13/19
2017-07-01,Search for new phenomena in high-mass diphoton final states using 37 fb$^{-1}$ of proton-proton collisions at $\\sqrt{s}$ = 13 TeV with the ATLAS detector,PLB,,Phys.Lett. B775 (2017) 105-125,p,https://inspirehep.net/record/1609773,77,61,1609773,4/13/19
2017-08-31,Searches for heavy 𝑍𝑍 and 𝑍𝑊 resonances in the ℓℓ𝑞𝑞 and 𝜈𝜈𝑞𝑞 final states in 𝑝𝑝 collisions at 𝑠√=13 TeV with the ATLAS detector,JHEP,,JHEP 1803 (2018) 009,p,http://inspirehep.net/record/1620910,55,35,1620910,4/13/19
2017-10-01,Search for heavy ZZ resonances in the $\\ell\\ell\\ell\\ell$ and $\\ell\\ell\\nu\\nu$ final state using proton-proton collisions at $\\sqrt{s}$ = 13 TeV with the ATLAS detector,EPJC,,Eur. Phys. J. C 78 (2018) 293,p,https://inspirehep.net/record/1643838,49,41,1643838,4/13/19
2017-11-09,Search for dark matter and other new phenomena in events with an energetic jet and large missing transverse momentum using the ATLAS detector,JHEP,,JHEP 1801 (2018) 126,p,http://inspirehep.net/record/1635274,112,91,1635274,4/13/19
2018-08-07,Combination of searches for heavy resonances decaying into bosonic and leptonic final states using 36 fb−1 of proton-proton collision data at 𝑠√=13 TeV with the ATLAS detector,PRD,,"Phys.Rev. D98 (2018) no.5, 052008",p,http://inspirehep.net/record/1685420,19,16,1685420,4/13/19
