pub_date	title	venue	excerpt	citation	url_slug	paper_url
2010-12-14	Measurement of the W &rarr; lv and Z &rarr; ll production cross section in proton-proton collision at sqrt(s) = 7 TeV with the ATLAS detector	JHEP		ATLAS Collaboration, JHEP 1012 (2010) 060	p	https://link.springer.com/article/10.1007/JHEP12(2010)060
2011-11-24	Search for the Standard Model Higgs boson in the decay channel H->ZZ->4l with the ATLAS detector	Phys.Lett.B		ATLAS Collaboration, Phys.Lett.B 705 (2011) 435-451	p	http://www.sciencedirect.com/science/article/pii/S0370269311012780
2012-04-12	Search for the Standard Model Higgs boson in the decay channel H->ZZ->4l with 4.8 fb^-1 of pp collisions at sqrt(s) = 7 TeV with ATLAS	Phys.Lett.B		Phys.Lett.B 710 (2012) 383-402	p	http://www.sciencedirect.com/science/article/pii/S0370269312002560
2012-03-29	Combined search for the Standard Model Higgs boson using up to 4.9 fb^-1 of pp collision data at sqrt(s) = 7 TeV with the ATLAS detector at the LHC	Phys.Lett.B		ATLAS Collaboration, Phys.Lett.B 710 (2012) 49-66	p	http://www.sciencedirect.com/science/article/pii/S0370269312001852
2012-12-21	A Particle Consistent with the Higgs Boson Observed with the ATLAS Detector at the Large Hadron Collider	Science		ATLAS Collaboration, Science 338 1576-1582	p	http://science.sciencemag.org/content/338/6114/1576
2012-09-17	Observation of a new particle in the search for the Standard Model Higgs boson with the ATLAS detector at the LHC	Phys.Lett.B		ATLAS Collaboration, Phys.Lett.B 716 (2012) 1-29	p	http://www.sciencedirect.com/science/article/pii/S037026931200857X
2014-09-09	Measurement of the Higgs boson mass from the H->gg and H->ZZ*->4l channels with the ATLAS detector using 25 fb^-1 of pp collision data	Phys.Rev.D		ATLAS Collaboration, Phys.Rev.D 90 (2014) 052004	p	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.90.052004
2015-01-16	Measurement of Higgs boson production and couplings in the four-lepton channel in pp collisions at center-of-mass energies of 7 and 8 TeV with the ATLAS detector	Phys.Rev.D		Phys.rev.D 91 (2015) no.1, 012006	p	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.91.012006
2016-01-05	Measurements of the Higgs boson production and decay rates and couplings using pp collision data at sqrt(s) = 7 and 8 TeV in the ATLAS experiment	EPJC		Eur.Phys.J. C 76 (2016) no.1	p	https://link.springer.com/article/10.1140%2Fepjc%2Fs10052-015-3769-y
2016-08-22	Search for new phenomena in final states with an energetic jet and large missing transverse momentumi in pp collisions at 13 TeV using the ATLAS detector	Phys.Rev.D		Phys.Rev.D 94 (2016) no.3, 032005	p	https://journals.aps.org/prd/abstract/10.1103/PhysRevD.94.032005
2016-09-01	Search for resonances in diphoton events at sqrt(s) = 13 TeV with the ATLAS detector	JHEP		JHEP 1609 (2016) 001	p	https://link.springer.com/article/10.1007%2FJHEP09%282016%29001
2017-07-01	Search for new phenomena in high-mass diphoton final states using 37 fb^-1 of proton-proton collisions at sqrt(s) = 13 TeV with the ATLAS detector	PLB		NotAvailable	p	
2017-10-01	Search for heavy ZZ resonances in the llll and llvv final state using proton-proton collisions at sqrt(s) = 13 TeV with the ATLAS detector	EPJC	See link		p	
